    muB (MeV)    nB (fm^-3)    p(MeV fm^-3)
    2.70729471e-03    1.32432308e-06    1.88136296e-04
    2.73579254e-03    3.75971990e-06    2.87790002e-04
    2.76429038e-03    7.06603918e-06    3.73370371e-04
    2.79278822e-03    1.11141572e-05    4.45952901e-04
    2.82128606e-03    1.59453959e-05    5.22453699e-04
    2.84978390e-03    2.16005070e-05    5.87550987e-04
    2.87828174e-03    2.79424161e-05    6.41866283e-04
    2.90677958e-03    3.48614065e-05    6.88804427e-04
    2.93527742e-03    4.22765442e-05    7.30527222e-04
    2.96377526e-03    5.01362482e-05    7.68439839e-04
    2.99227310e-03    5.84006215e-05    8.03461045e-04
    3.02077093e-03    6.70326169e-05    8.36212357e-04
    3.04926877e-03    7.60122860e-05    8.67099115e-04
    3.07776661e-03    8.53168304e-05    8.96499634e-04
    3.10626445e-03    9.49291515e-05    9.24630093e-04
    3.13476229e-03    1.04840700e-04    9.51706674e-04
    3.16326013e-03    1.15037227e-04    9.77837465e-04
    3.19175797e-03    1.25504483e-04    1.00313056e-03
    3.22025581e-03    1.36239619e-04    1.02774809e-03
    3.24875365e-03    1.47234085e-04    1.05169005e-03
    3.27725149e-03    1.58479333e-04    1.07509157e-03
    3.30574933e-03    1.69966811e-04    1.09795264e-03
    3.33424716e-03    1.81747818e-04    1.12259719e-03
    3.36274500e-03    1.93830902e-04    1.14872798e-03
    3.39124284e-03    2.06184715e-04    1.17461557e-03
    3.41974068e-03    2.18797859e-04    1.20009782e-03
    3.44823852e-03    2.31667483e-04    1.22506664e-03
    3.47673636e-03    2.44787888e-04    1.24954906e-03
    3.50523420e-03    2.58144825e-04    1.27378827e-03
    3.53373204e-03    2.71763942e-04    1.30162148e-03
    3.56222988e-03    2.85690836e-04    1.33123818e-03
    3.59072772e-03    2.99911258e-04    1.36177365e-03
    3.61922555e-03    3.14473653e-04    1.39284956e-03
    3.64772339e-03    3.29349525e-04    1.42419570e-03
    3.67622123e-03    3.44538874e-04    1.45564994e-03
    3.70471907e-03    3.60070196e-04    1.48710417e-03
    3.73321691e-03    3.75943492e-04    1.51845031e-03
    3.76171475e-03    3.92130265e-04    1.54960729e-03
    3.79021259e-03    4.08659011e-04    1.58057512e-03
    3.81871043e-03    4.25501234e-04    1.61127272e-03
    3.84720827e-03    4.42656933e-04    1.64167307e-03
    3.87570611e-03    4.60126109e-04    1.67180320e-03
    3.90420394e-03    4.77937258e-04    1.70160905e-03
    3.93270178e-03    4.96033386e-04    1.73117171e-03
    3.96119962e-03    5.14471488e-04    1.76170717e-03
    3.98969746e-03    5.33223066e-04    1.79394506e-03
    4.01819530e-03    5.52316618e-04    1.82934458e-03
    4.04669314e-03    5.71809140e-04    1.86601416e-03
    4.07519098e-03    5.92042605e-04    1.92954414e-03
    4.10368882e-03    6.12561049e-04    1.95870145e-03
    4.13218666e-03    6.33364472e-04    1.98666978e-03
    4.16068450e-03    6.54452873e-04    2.01382743e-03
    4.18918233e-03    6.75826252e-04    2.04060676e-03
    4.21768017e-03    6.97513108e-04    2.06814272e-03
    4.24617801e-03    7.19456444e-04    2.09567869e-03
    4.27467585e-03    7.41713256e-04    2.12299847e-03
    4.30317369e-03    7.64226549e-04    2.14993994e-03
    4.33167153e-03    7.87053318e-04    2.17650309e-03
    4.36016937e-03    8.10136567e-04    2.20263388e-03
    4.38866721e-03    8.33504795e-04    2.22833231e-03
    4.41716505e-03    8.57129504e-04    2.25362541e-03
    4.44566289e-03    8.81039191e-04    2.27848614e-03
    4.47416072e-03    9.05205358e-04    2.30296856e-03
    4.50265856e-03    9.29628006e-04    2.32707266e-03
    4.53115640e-03    9.54278637e-04    2.35082547e-03
    4.55965424e-03    9.79185748e-04    2.37428103e-03
    4.58815208e-03    1.00434934e-03    2.39746636e-03
    4.61664992e-03    1.02976941e-03    2.42038147e-03
    4.64514776e-03    1.05541747e-03    2.44308040e-03
    4.67364560e-03    1.08129351e-03    2.46559017e-03
    4.70214344e-03    1.10742602e-03    2.48793781e-03
    4.73064128e-03    1.13375803e-03    2.51015033e-03
    4.75913911e-03    1.16034651e-03    2.53225477e-03
    4.78763695e-03    1.18719148e-03    2.55430516e-03
    4.81613479e-03    1.21423592e-03    2.57630150e-03
    4.84463263e-03    1.24150836e-03    2.59829784e-03
    4.87313047e-03    1.26903727e-03    2.62032121e-03
    4.90162831e-03    1.29679416e-03    2.64239862e-03
    4.93012615e-03    1.32477904e-03    2.66455710e-03
    4.95862399e-03    1.35299190e-03    2.68685069e-03
    4.98712183e-03    1.38143275e-03    2.70927940e-03
    5.01561967e-03    1.41013007e-03    2.73197833e-03
    5.04411750e-03    1.43905538e-03    2.75467726e-03
    5.07261534e-03    1.46823716e-03    2.77791664e-03
    5.10111318e-03    1.49764693e-03    2.80115602e-03
    5.12961102e-03    1.52731318e-03    2.82493585e-03
    5.15810886e-03    1.55723591e-03    2.84898591e-03
    5.18660670e-03    1.58741513e-03    2.87357641e-03
    5.21510454e-03    1.61785082e-03    2.89843715e-03
    5.24360238e-03    1.64854299e-03    2.92383833e-03
